Launch Angle (deg),Launch Speed (m/s)
68.24360659510043,81.90770992202724

t (s),x (m),y (m),vx (m/s),vy (m/s)
0.0,0,0,30.359999999999992,76.07327615313383
0.017,0.5161199999999999,1.2932456946032753,30.359999999999992,74.90588615313384
0.033,1.0018799999999999,2.4917398730534166,30.359999999999992,73.80716615313383
0.049,1.4876399999999999,3.672654531503558,30.359999999999992,72.70844615313383
0.065,1.9733999999999998,4.835989669953699,30.359999999999992,71.60972615313383
0.081,2.45916,5.9817452884038405,30.359999999999992,70.51100615313383
0.097,2.9449199999999998,7.109921386853982,30.359999999999992,69.41228615313383
0.113,3.4306799999999997,8.220517965304124,30.359999999999992,68.31356615313383
0.129,3.9164399999999997,9.313535023754266,30.359999999999992,67.21484615313383
0.14500000000000002,4.4022,10.388972562204408,30.359999999999992,66.11612615313383
0.16100000000000003,4.88796,11.446830580654549,30.359999999999992,65.01740615313383
0.17700000000000005,5.37372,12.487109079104691,30.359999999999992,63.918686153133834
0.19300000000000006,5.85948,13.509808057554832,30.359999999999992,62.819966153133834
0.20900000000000007,6.3452399999999995,14.514927516004972,30.359999999999992,61.72124615313383
0.2250000000000001,6.8309999999999995,15.502467454455113,30.359999999999992,60.62252615313383
0.2410000000000001,7.3167599999999995,16.472427872905254,30.359999999999992,59.52380615313383
0.2570000000000001,7.8025199999999995,17.424808771355394,30.359999999999992,58.42508615313383
0.27300000000000013,8.288279999999999,18.359610149805537,30.359999999999992,57.32636615313383
0.28900000000000015,8.774039999999998,19.276832008255678,30.359999999999992,56.22764615313383
0.30500000000000016,9.259799999999997,20.17647434670582,30.359999999999992,55.12892615313383
0.3210000000000002,9.745559999999996,21.05853716515596,30.359999999999992,54.03020615313383
0.3370000000000002,10.231319999999995,21.923020463606104,30.359999999999992,52.93148615313383
0.3540000000000002,10.747439999999994,22.82285572820938,30.359999999999992,51.764096153133835
0.3700000000000002,11.233199999999993,23.65108126665952,30.359999999999992,50.665376153133835
0.38600000000000023,11.718959999999992,24.461727285109664,30.359999999999992,49.566656153133835
0.40300000000000025,12.235079999999993,25.304360439712937,30.359999999999992,48.39926615313384
0.41900000000000026,12.720839999999992,26.07874869816308,30.359999999999992,47.30054615313384
0.4350000000000003,13.206599999999991,26.83555743661322,30.359999999999992,46.20182615313384
0.4510000000000003,13.69235999999999,27.574786655063363,30.359999999999992,45.10310615313384
0.4670000000000003,14.17811999999999,28.296436353513503,30.359999999999992,44.00438615313384
0.4830000000000003,14.663879999999988,29.000506531963644,30.359999999999992,42.905666153133836
0.49900000000000033,15.149639999999987,29.686997190413784,30.359999999999992,41.806946153133836
0.5150000000000003,15.635399999999986,30.355908328863926,30.359999999999992,40.708226153133836
0.5310000000000004,16.121159999999986,31.007239947314066,30.359999999999992,39.609506153133836
0.5470000000000004,16.606919999999985,31.640992045764207,30.359999999999992,38.510786153133836
0.5630000000000004,17.092679999999984,32.25716462421435,30.359999999999992,37.412066153133836
0.5790000000000004,17.578439999999983,32.85575768266449,30.359999999999992,36.313346153133836
0.5950000000000004,18.064199999999982,33.43677122111463,30.359999999999992,35.214626153133835
0.6110000000000004,18.54995999999998,34.00020523956477,30.359999999999992,34.115906153133835
0.6270000000000004,19.03571999999998,34.54605973801491,30.359999999999992,33.017186153133835
0.6440000000000005,19.55183999999998,35.107351902618184,30.359999999999992,31.849796153133834
0.6600000000000005,20.03759999999998,35.616948641068326,30.359999999999992,30.751076153133834
0.6760000000000005,20.52335999999998,36.10896585951847,30.359999999999992,29.652356153133834
0.6930000000000005,21.03947999999998,36.613055914121745,30.359999999999992,28.484966153133833
0.7090000000000005,21.52523999999998,37.06881537257188,30.359999999999992,27.386246153133833
0.7250000000000005,22.010999999999978,37.506995311022024,30.359999999999992,26.287526153133832
0.7410000000000005,22.496759999999977,37.927595729472166,30.359999999999992,25.188806153133832
0.7570000000000006,22.982519999999976,38.33061662792231,30.359999999999992,24.090086153133832
0.7730000000000006,23.468279999999975,38.71605800637245,30.359999999999992,22.991366153133832
0.7900000000000006,23.984399999999976,39.106911230975726,30.359999999999992,21.82397615313383
0.8060000000000006,24.470159999999975,39.45609484942587,30.359999999999992,20.72525615313383
0.8220000000000006,24.955919999999974,39.78769894787601,30.359999999999992,19.62653615313383
0.8390000000000006,25.472039999999975,40.12135006247929,30.359999999999992,18.45914615313383
0.8550000000000006,25.957799999999974,40.41669640092943,30.359999999999992,17.36042615313383
0.8710000000000007,26.443559999999973,40.69446321937957,30.359999999999992,16.26170615313383
0.8870000000000007,26.929319999999972,40.95465051782971,30.359999999999992,15.16298615313383
0.9030000000000007,27.41507999999997,41.197258296279855,30.359999999999992,14.064266153133829
0.9190000000000007,27.90083999999997,41.42228655472999,30.359999999999992,12.965546153133829
0.9350000000000007,28.38659999999997,41.62973529318013,30.359999999999992,11.866826153133829
0.9510000000000007,28.87235999999997,41.819604511630274,30.359999999999992,10.768106153133829
0.9670000000000007,29.358119999999968,41.99189421008042,30.359999999999992,9.669386153133829
0.9830000000000008,29.843879999999967,42.146604388530555,30.359999999999992,8.570666153133828
0.9990000000000008,30.329639999999966,42.283735046980695,30.359999999999992,7.471946153133828
1.0150000000000008,30.815399999999965,42.40328618543084,30.359999999999992,6.373226153133828
1.0310000000000008,31.301159999999964,42.50525780388098,30.359999999999992,5.274506153133828
1.0470000000000008,31.786919999999963,42.58964990233112,30.359999999999992,4.175786153133828
1.0630000000000008,32.272679999999966,42.65646248078126,30.359999999999992,3.0770661531338277
1.0790000000000008,32.758439999999965,42.7056955392314,30.359999999999992,1.9783461531338276
